Timestamp,Active,Cooldown_Until,Cooldown_Minutes,Health_State,CPU_Load_Pct,Memory_Used_Pct,Temperature_C,Reason,Hot_Streak
2026-05-07T02:05:39-04:00,True,2026-05-07T02:25:39-04:00,20,WARM,76.0,83.0,,temperature DENIED_OR_UNAVAILABLE; cpu elevated 76.0%; sustained warm streak=6,6
2026-05-07T02:17:14-04:00,True,2026-05-07T02:37:14-04:00,20,WARM,51.0,88.5,,temperature DENIED_OR_UNAVAILABLE; memory elevated 88.5%; sustained warm streak=6,6
2026-05-07T02:30:47-04:00,True,2026-05-07T02:50:47-04:00,20,WARM,62.0,90.5,,temperature DENIED_OR_UNAVAILABLE; memory elevated 90.5%; sustained warm streak=6,6
2026-05-07T02:40:05-04:00,True,2026-05-07T03:00:05-04:00,20,WARM,23.0,86.0,,temperature DENIED_OR_UNAVAILABLE; memory elevated 86.0%; sustained warm streak=6,6
2026-05-07T02:43:14-04:00,True,2026-05-07T03:13:14-04:00,30,COOLDOWN,100.0,90.1,,temperature DENIED_OR_UNAVAILABLE; cpu 100.0%; cooldown heartbeat,6
2026-05-07T03:03:25-04:00,True,2026-05-07T03:23:25-04:00,20,WARM,60.0,88.9,,temperature DENIED_OR_UNAVAILABLE; memory elevated 88.9%; sustained warm streak=6,6
"2026-05-07T06:05:12-04:00","False","2026-05-07T06:05:12-04:00","0","OK",,,,"temperature DENIED_OR_UNAVAILABLE; fan UNAVAILABLE","0"
"2026-05-07T06:06:31-04:00","False","2026-05-07T06:06:31-04:00","0","OK","2","77.7",,"temperature DENIED_OR_UNAVAILABLE; fan UNAVAILABLE","0"
2026-05-07T07:28:14-04:00,False,2026-05-07T07:28:14-04:00,0,WARM,85.0,81.0,,temperature DENIED_OR_UNAVAILABLE; cpu elevated 85.0%,2
2026-05-07T07:28:58-04:00,False,2026-05-07T07:28:58-04:00,0,OK,47.0,81.5,,temperature DENIED_OR_UNAVAILABLE,0
2026-05-07T07:28:58-04:00,False,2026-05-07T07:28:58-04:00,0,OK,48.0,81.5,,temperature DENIED_OR_UNAVAILABLE,0
2026-05-07T07:50:56-04:00,True,2026-05-07T08:10:56-04:00,20,WARM,49.0,91.0,,temperature DENIED_OR_UNAVAILABLE; memory elevated 91.0%; sustained warm streak=5,5
