ID,Product_Type,Image_Role,Path,Exists,Format,Size,File_Size_KB,Info_Keys,EXIF_Key_Count,Read_Status
Sticker-Academia-0001,Sticker,Production,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Not_Working_LowRes\Production_Design.png,True,PNG,1664x1664,1349.9,dpi,0,OK
Sticker-Academia-0001,Sticker,Cover,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming\Cover_Mockup.png,False,,,,,,MISSING
Sticker-Academia-0001,Sticker,Gallery_U1,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming\Sticker-Academia-0001_U1_Grid.png,False,,,,,,MISSING
Sticker-Academia-0001,Sticker,Gallery_U2,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming\Sticker-Academia-0001_U2_Grid.png,False,,,,,,MISSING
Sticker-Academia-0001,Sticker,Gallery_U3,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming\Sticker-Academia-0001_U3_Grid.png,False,,,,,,MISSING
Sticker-Academia-0001,Sticker,Gallery_U4,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming\Sticker-Academia-0001_U4_Grid.png,False,,,,,,MISSING
Sticker-Academia-0002,Sticker,Production,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Not_Working_LowRes\Production_Design.png,True,PNG,1664x1664,2449.2,dpi,0,OK
Sticker-Academia-0002,Sticker,Cover,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Ready_for_Steaming\Cover_Mockup.png,False,,,,,,MISSING
Sticker-Academia-0002,Sticker,Gallery_U1,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Ready_for_Steaming\Sticker-Academia-0002_U1_Grid.png,False,,,,,,MISSING
Sticker-Academia-0002,Sticker,Gallery_U2,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Ready_for_Steaming\Sticker-Academia-0002_U2_Grid.png,False,,,,,,MISSING
