Path,Verdict,Reason,Width,Height,Mean_Luma,Stddev_Luma,Black_Clip_Pct,White_Clip_Pct,Edge_Energy
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Production_Design.png,PASS,,3600,5400,65.09,55.04,0.92,0.07,33.20
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Cover_Mockup.png,PASS,,1800,2700,64.28,57.09,3.63,0.14,34.22
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\_printify_upload\Cover_Mockup_q92.jpg,PASS,,1800,2700,64.28,57.07,3.63,0.14,34.23
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\_printify_upload\Gallery_U1_q92.jpg,PASS,,1800,2700,64.28,57.07,3.63,0.14,34.23
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\_printify_upload\Gallery_U2_q92.jpg,PASS,,1800,2700,83.03,60.16,1.25,0.14,43.58
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\_printify_upload\Gallery_U3_q92.jpg,PASS,,1800,2700,93.24,56.67,0.18,0.19,48.16
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\_printify_upload\Gallery_U4_q92.jpg,PASS,,1800,2700,77.80,59.10,3.74,0.15,44.58
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\_printify_upload\Production_Design_q92.jpg,PASS,,3600,5400,65.09,55.05,0.91,0.07,33.20
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Gallery_U1.png,PASS,,1800,2700,64.28,57.09,3.63,0.14,34.22
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Gallery_U2.png,PASS,,1800,2700,83.03,60.18,1.26,0.14,43.61
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Gallery_U3.png,PASS,,1800,2700,93.24,56.68,0.19,0.20,48.18
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Gallery_U4.png,PASS,,1800,2700,77.80,59.11,3.77,0.15,44.59
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Poster-Academia-0038_Grid.png,PASS,,1792,2688,59.55,52.66,1.64,0.06,31.05
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Poster-Academia-0038_U1.png,HOLD,LOW_RESOLUTION,896,1344,68.88,53.26,0.20,0.17,31.40
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Poster-Academia-0038_U2.png,HOLD,LOW_RESOLUTION,896,1344,65.08,55.03,0.92,0.07,33.03
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Poster-Academia-0038_U3.png,HOLD,LOW_RESOLUTION,896,1344,47.84,51.09,0.70,0.04,27.86
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0038_Ready_for_Steaming\Poster-Academia-0038_U4.png,HOLD,LOW_RESOLUTION,896,1344,56.38,55.91,5.48,0.06,31.07
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Production_Design.png,PASS,,3600,5400,67.74,53.04,0.41,0.08,36.18
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Cover_Mockup.png,PASS,,1800,2700,66.91,55.02,1.48,0.22,37.31
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\_printify_upload\Cover_Mockup_q92.jpg,PASS,,1800,2700,66.92,54.99,1.43,0.20,37.31
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\_printify_upload\Gallery_U1_q92.jpg,PASS,,1800,2700,66.92,54.99,1.43,0.20,37.31
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\_printify_upload\Gallery_U2_q92.jpg,PASS,,1800,2700,87.38,61.46,0.49,0.52,43.84
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\_printify_upload\Gallery_U3_q92.jpg,PASS,,1800,2700,86.31,55.63,0.25,0.13,45.76
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\_printify_upload\Gallery_U4_q92.jpg,PASS,,1800,2700,69.01,56.59,2.87,0.09,40.77
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\_printify_upload\Production_Design_q92.jpg,PASS,,3600,5400,67.74,53.04,0.41,0.08,36.19
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Gallery_U1.png,PASS,,1800,2700,66.91,55.02,1.48,0.22,37.31
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Gallery_U2.png,PASS,,1800,2700,87.38,61.48,0.50,0.55,43.85
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Gallery_U3.png,PASS,,1800,2700,86.31,55.64,0.25,0.14,45.77
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Gallery_U4.png,PASS,,1800,2700,69.01,56.60,2.92,0.09,40.78
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Poster-Academia-0039_Grid.png,PASS,,1792,2688,65.80,48.81,0.83,0.03,29.27
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Poster-Academia-0039_U1.png,HOLD,LOW_RESOLUTION,896,1344,45.34,46.14,3.11,0.11,26.42
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Poster-Academia-0039_U2.png,HOLD,LOW_RESOLUTION,896,1344,61.80,48.01,0.04,0.03,28.04
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Poster-Academia-0039_U3.png,HOLD,LOW_RESOLUTION,896,1344,88.32,45.05,0.30,0.01,27.19
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0039_Ready_for_Steaming\Poster-Academia-0039_U4.png,HOLD,LOW_RESOLUTION,896,1344,67.72,53.03,0.41,0.09,36.00
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Production_Design.png,PASS,,3600,5400,75.94,62.51,1.63,0.65,44.22
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Cover_Mockup.png,PASS,,1800,2700,75.13,64.69,3.74,1.09,45.34
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\_printify_upload\Cover_Mockup_q92.jpg,PASS,,1800,2700,75.12,64.66,3.72,1.07,45.34
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\_printify_upload\Gallery_U1_q92.jpg,PASS,,1800,2700,75.12,64.66,3.72,1.07,45.34
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\_printify_upload\Gallery_U2_q92.jpg,PASS,,1800,2700,108.22,71.31,0.51,2.75,56.15
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\_printify_upload\Gallery_U3_q92.jpg,PASS,,1800,2700,94.16,63.28,0.50,0.36,52.60
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\_printify_upload\Gallery_U4_q92.jpg,PASS,,1800,2700,74.71,58.92,2.79,0.19,44.92
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\_printify_upload\Production_Design_q92.jpg,PASS,,3600,5400,75.93,62.51,1.63,0.65,44.22
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Gallery_U1.png,PASS,,1800,2700,75.13,64.69,3.74,1.09,45.34
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Gallery_U2.png,PASS,,1800,2700,108.23,71.33,0.51,2.77,56.16
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Gallery_U3.png,PASS,,1800,2700,94.17,63.29,0.50,0.37,52.60
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Gallery_U4.png,PASS,,1800,2700,74.71,58.93,2.79,0.19,44.91
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Poster-Academia-0040_Grid.png,PASS,,1792,2688,67.58,55.44,3.29,0.43,35.63
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Poster-Academia-0040_U1.png,HOLD,LOW_RESOLUTION,896,1344,75.93,62.50,1.65,0.65,44.02
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Poster-Academia-0040_U2.png,HOLD,LOW_RESOLUTION,896,1344,66.64,52.59,0.01,0.49,30.61
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Poster-Academia-0040_U3.png,HOLD,LOW_RESOLUTION,896,1344,60.11,57.56,12.28,0.41,32.57
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0040_Ready_for_Steaming\Poster-Academia-0040_U4.png,HOLD,LOW_RESOLUTION,896,1344,67.64,56.23,0.20,0.67,30.83
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0041_Ready_for_Steaming\Production_Design.png,PASS,,3600,5400,33.04,43.24,11.07,0.08,21.99
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0041_Ready_for_Steaming\Cover_Mockup.png,HOLD,SHADOW_CLIPPING,1800,2700,32.39,44.74,19.49,0.21,22.51
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0041_Ready_for_Steaming\_printify_upload\Cover_Mockup_q92.jpg,HOLD,SHADOW_CLIPPING,1800,2700,32.40,44.74,19.50,0.21,22.52
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0041_Ready_for_Steaming\_printify_upload\Gallery_U1_q92.jpg,HOLD,SHADOW_CLIPPING,1800,2700,32.40,44.74,19.50,0.21,22.52
