ID,Product_Type,Category,Status,Printify_Product_ID,Existing_Title,Existing_Title_Length,Proposed_eBay_Title,Proposed_eBay_Title_Length,Title_Length_OK,Existing_Description_Has_Image_Note,Proposed_eBay_Description,Etsy_Title,Etsy_Tags,Etsy_Tag_Count,Etsy_Description,Needs_Local_Update,Reason
Sticker-Academia-0004,Sticker,Academia,Printify_Published_Mockups5,69f192aa5ea38382140f1d7b,Vintage Academia Mechanical Raven Familiar 4pc 6x6 Sticker Sheet Literary Cozy,78,Vintage Academia Mechanical Raven Familiar 4pc 6x6 Sticker Sheet Literary Cozy,78,True,True,"<h2>Mechanical Raven Familiar - Kiss-Cut Sticker</h2><p>A polished Academia aesthetic piece for writers, learners, library lovers, and collectors of moody scholarly decor. Built for readers and collectors, this Mechanical Raven Familiar kiss-cut sticker blends literary atmosphere with vintage study-room style.</p><p>The design works well across journal spreads, library shelves, dorm rooms, studio desks, and cozy personal collections, while the title, material notes, and DNA profile stay specific for easy comparison.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> A clockwork raven with spread wings made of Corroded Iron feathers, cracked glass eye lenses, Kintsugi gold joint repairs, toxic jade bioluminescent core visible through ribcage, perched pose, dark academia aesthetic, dramatic side lighting with green glow emanating from chest, , , , , , person, text, watermark</li><li><strong>Best For:</strong> writers, learners, library lovers, and collectors of moody scholarly decor.</li></ul><p><strong>SEO Keywords:</strong> mechanical raven, clockwork bird, corroded iron familiar, kintsugi repairs, toxic jade core, dark academia creature, steampunk raven, bioluminescent bird, gothic clockwork, mentor-grade design</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Saved under the reference SKU below for easy collector matching.</p><p><small>Reference SKU: Sticker-Academia-0004</small></p>","Mechanical Raven Familiar Sheet Literary Cozy Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic",13,"Mechanical Raven Familiar Sheet Literary Cozy is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0005,Sticker,Academia,Printify_Published_Mockups5,69f198efea1f992ded0e90e7,Forbidden Grimoire Lock 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Journal,77,Forbidden Grimoire Lock 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Journal,77,True,True,"<h2>Forbidden Grimoire Lock Kiss-Cut Sticker</h2><p>Embrace the dark academia aesthetic with this vintage-inspired Forbidden Grimoire Lock kiss-cut sticker.</p><p>Designed for study rooms, creative workspaces, shelves, gallery walls, and collectible aesthetic decor, this sticker blends niche aesthetic appeal with collectible mentor-grade artwork.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> An ornate book clasp and lock mechanism made of Corroded Iron with intricate gears, cracked glass viewing window, Kintsugi gold decorative inlay, toxic jade bioluminescent runes glowing beneath surface, dark academia aesthetic, dramatic side lighting with green mystical glow, , , , , , person, text, watermark</li><li><strong>Best For:</strong> students, book lovers, writers, introverts, and dark academia collectors.</li></ul><p><strong>SEO Keywords:</strong> grimoire lock, book clasp mechanism, corroded iron hardware, kintsugi gold inlay, toxic jade runes, dark academia library, mystical book lock, bioluminescent symbols, antique mechanism, scholarly artifact</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Complete the collection with matching Alchemy pieces.</p><p><small>Reference SKU: Sticker-Academia-0005</small></p>","Forbidden Grimoire Lock Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic",13,"Forbidden Grimoire Lock is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0006,Sticker,Academia,Printify_Published_Mockups5,69f19b945494697f0d01b78c,Botanical Terrarium Lantern 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Vinyl,79,Botanical Terrarium Lantern 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Vinyl,79,True,True,"<h2>Botanical Terrarium Lantern Kiss-Cut Sticker</h2><p>Embrace the dark academia aesthetic with this vintage-inspired Botanical Terrarium Lantern kiss-cut sticker.</p><p>Designed for study rooms, creative workspaces, shelves, gallery walls, and collectible aesthetic decor, this sticker blends niche aesthetic appeal with collectible mentor-grade artwork.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> A hanging terrarium lantern with geometric panels made of Corroded Iron framework, cracked glass panes, Kintsugi gold repair lines, toxic jade bioluminescent moss and crystalline plants inside, dark academia aesthetic, dramatic side lighting with internal green glow, , , , , , person, text, watermark</li><li><strong>Best For:</strong> students, book lovers, writers, introverts, and dark academia collectors.</li></ul><p><strong>SEO Keywords:</strong> terrarium lantern, botanical glass case, corroded iron frame, kintsugi repairs, toxic jade moss, dark academia botany, bioluminescent plants, vintage terrarium, hanging lantern, premium sticker</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Complete the collection with matching Alchemy pieces.</p><p><small>Reference SKU: Sticker-Academia-0006</small></p>","Botanical Terrarium Lantern Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic, mystical sticker",13,"Botanical Terrarium Lantern is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0007,Sticker,Academia,Printify_Published_Mockups5,69f1a56756390ef4cd09be1e,Astrolabe Navigation Instrument Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk,76,Astrolabe Navigation Instrument Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk,76,True,True,"<h2>Astrolabe Navigation Instrument - Kiss-Cut Sticker</h2><p>A polished Academia aesthetic piece for writers, learners, library lovers, and collectors of moody scholarly decor. Built for readers and collectors, this Astrolabe Navigation Instrument kiss-cut sticker blends literary atmosphere with vintage study-room style.</p><p>The design works well across journal spreads, library shelves, dorm rooms, studio desks, and cozy personal collections, while the title, material notes, and DNA profile stay specific for easy comparison.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> An antique astrolabe with rotating rings made of Corroded Iron, cracked glass measurement face, Kintsugi gold degree markings, toxic jade bioluminescent pointer and constellation markers, dark academia aesthetic, dramatic side lighting with green luminous details, , , , , , person, text, watermark</li><li><strong>Best For:</strong> writers, learners, library lovers, and collectors of moody scholarly decor.</li></ul><p><strong>SEO Keywords:</strong> astrolabe instrument, navigation tool, corroded iron rings, kintsugi gold markings, toxic jade pointer, dark academia astronomy, vintage navigation, bioluminescent constellations, scientific artifact, collectible design</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Saved under the reference SKU below for easy collector matching.</p><p><small>Reference SKU: Sticker-Academia-0007</small></p>","Astrolabe Navigation Instrument Desk Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic",13,"Astrolabe Navigation Instrument Desk is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0008,Sticker,Academia,Printify_Published_Mockups5,69f1a630de3c2e09400f9c5f,Ritual Incense Censer Gothic Academia 4pc 6x6 Vinyl Sticker Reader Writer Decor,79,Ritual Incense Censer Gothic Academia 4pc 6x6 Vinyl Sticker Reader Writer Decor,79,True,True,"<h2>Ritual Incense Censer | Kiss-Cut Sticker</h2><p>Give your study space a scholarly, moody accent with this Ritual Incense Censer kiss-cut sticker. The artwork is built around a focused visual DNA profile, so each piece feels like part of a coherent small-batch collection.</p><p>Use it for laptops, notebooks, reading corners, desk setups, gallery shelves, and gift bundles. The composition favors readable detail, strong mood, and giftable niche appeal without generic mass-market styling.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> A ceremonial hanging censer with chain suspension made of Corroded Iron filigree, cracked glass viewing ports, Kintsugi gold decorative patterns, toxic jade bioluminescent smoke wisps emerging from openings, dark academia aesthetic, dramatic side lighting with green glowing vapors, , , , , , person, text, watermark</li><li><strong>Best For:</strong> readers, literature fans, journal keepers, study desk decorators, and thoughtful gift buyers.</li></ul><p><strong>SEO Keywords:</strong> ritual censer, incense burner, corroded iron filigree, kintsugi glass ports, toxic jade smoke, dark academia ritual, ceremonial artifact, bioluminescent vapor, hanging censer, mystical object</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Pair it with related OpenClaw pieces for a coordinated collection.</p><p><small>Reference SKU: Sticker-Academia-0008</small></p>","Ritual Incense Censer Reader Writer Decor Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic, mystical sticker",13,"Ritual Incense Censer Reader Writer Decor is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0009,Sticker,Academia,Printify_Published_Mockups5,69f1a6acc2501ebbc40ac2e5,Gothic Academia Cathedral Fragment 4pc 6x6 Vinyl Sticker Laptop Journal Gift,76,Gothic Academia Cathedral Fragment 4pc 6x6 Vinyl Sticker Laptop Journal Gift,76,True,True,"<h2>Gothic Cathedral Fragment | Kiss-Cut Sticker</h2><p>Give your study space a scholarly, moody accent with this Gothic Cathedral Fragment kiss-cut sticker. The artwork is built around a focused visual DNA profile, so each piece feels like part of a coherent small-batch collection.</p><p>Use it for laptops, notebooks, reading corners, desk setups, gallery shelves, and gift bundles. The composition favors readable detail, strong mood, and giftable niche appeal without generic mass-market styling.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> A miniature gothic cathedral window arch made of Corroded Iron tracery, cracked glass stained panels, Kintsugi gold leading repairs, toxic jade bioluminescent light filtering through, architectural relic, dark academia aesthetic, dramatic side lighting with green sacred glow, , , , , , person, text, watermark</li><li><strong>Best For:</strong> readers, literature fans, journal keepers, study desk decorators, and thoughtful gift buyers.</li></ul><p><strong>SEO Keywords:</strong> cathedral window, gothic architecture, corroded iron tracery, kintsugi stained glass, toxic jade light, dark academia relic, architectural fragment, bioluminescent window, sacred geometry, premium artifact</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Pair it with related OpenClaw pieces for a coordinated collection.</p><p><small>Reference SKU: Sticker-Academia-0009</small></p>","Cathedral Fragment Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic, mystical sticker",13,"Cathedral Fragment is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0010,Sticker,Academia,Printify_Published_Mockups5,69f1a724785a37b0240adad9,Vintage Academia Compass Rose Talisman 4pc 6x6 Sticker Sheet Literary Cozy Gift,79,Vintage Academia Compass Rose Talisman 4pc 6x6 Sticker Sheet Literary Cozy Gift,79,True,True,"<h2>Compass Rose Talisman - Kiss-Cut Sticker</h2><p>A polished Academia aesthetic piece for writers, learners, library lovers, and collectors of moody scholarly decor. Built for readers and collectors, this Compass Rose Talisman kiss-cut sticker blends literary atmosphere with vintage study-room style.</p><p>The design works well across journal spreads, library shelves, dorm rooms, studio desks, and cozy personal collections, while the title, material notes, and DNA profile stay specific for easy comparison.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> An ornate compass rose medallion made of Corroded Iron with directional points, cracked glass center dome, Kintsugi gold cardinal markers, toxic jade bioluminescent needle and inner mechanisms visible, dark academia aesthetic, dramatic side lighting with green glowing core, , , , , , person, text, watermark</li><li><strong>Best For:</strong> writers, learners, library lovers, and collectors of moody scholarly decor.</li></ul><p><strong>SEO Keywords:</strong> compass rose, navigation talisman, corroded iron medallion, kintsugi repairs, toxic jade needle, dark academia navigation, bioluminescent compass, vintage cartography, directional artifact, mentor-grade design</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Saved under the reference SKU below for easy collector matching.</p><p><small>Reference SKU: Sticker-Academia-0010</small></p>","Compass Rose Talisman Sheet Literary Cozy Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic",13,"Compass Rose Talisman Sheet Literary Cozy is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0011,Sticker,Academia,Printify_Published_Mockups5,69f1a7b0cfb25d6b6f0f10f7,Apothecary Poison Vial Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk Collector,77,Apothecary Poison Vial Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk Collector,77,True,True,"<h2>Apothecary Poison Vial - Kiss-Cut Sticker</h2><p>A polished Academia aesthetic piece for writers, learners, library lovers, and collectors of moody scholarly decor. Built for readers and collectors, this Apothecary Poison Vial kiss-cut sticker blends literary atmosphere with vintage study-room style.</p><p>The design works well across journal spreads, library shelves, dorm rooms, studio desks, and cozy personal collections, while the title, material notes, and DNA profile stay specific for easy comparison.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> An elegant poison vial with stopper made of Corroded Iron cage holder, cracked glass bottle, Kintsugi gold label plate, toxic jade bioluminescent liquid contents glowing inside, dark academia aesthetic, dramatic side lighting with internal green luminescence, , , , , , person, text, watermark</li><li><strong>Best For:</strong> writers, learners, library lovers, and collectors of moody scholarly decor.</li></ul><p><strong>SEO Keywords:</strong> apothecary vial, poison bottle, corroded iron cage, kintsugi glass repair, toxic jade liquid, dark academia pharmacy, bioluminescent potion, vintage medicine, alchemical vial, collectible sticker</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Saved under the reference SKU below for easy collector matching.</p><p><small>Reference SKU: Sticker-Academia-0011</small></p>","Apothecary Poison Vial Desk Collector Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic",13,"Apothecary Poison Vial Desk Collector is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0014,Sticker,Academia,Printify_Published_Mockups5,69f1a833592cc603cd0a91fd,Dark Academia Microscope Observation Device 4pc 6x6 Kiss-Cut Sticker Laptop,75,Dark Academia Microscope Observation Device 4pc 6x6 Kiss-Cut Sticker Laptop,75,True,True,"<h2>Microscope Observation Device Kiss-Cut Sticker</h2><p>Embrace the dark academia aesthetic with this vintage-inspired Microscope Observation Device kiss-cut sticker.</p><p>Designed for study rooms, creative workspaces, shelves, gallery walls, and collectible aesthetic decor, this sticker blends niche aesthetic appeal with collectible mentor-grade artwork.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> A vintage microscope with adjustment knobs made of Corroded Iron body and stage, cracked glass lenses and specimen slide, Kintsugi gold focus ring, toxic jade bioluminescent specimen under view glowing green, dark academia aesthetic, dramatic side lighting with internal illumination, , , , , , person, text, watermark</li><li><strong>Best For:</strong> students, book lovers, writers, introverts, and dark academia collectors.</li></ul><p><strong>SEO Keywords:</strong> vintage microscope, scientific instrument, corroded iron body, kintsugi lens repair, toxic jade specimen, dark academia science, bioluminescent observation, laboratory equipment, scholarly tool, collectible sticker</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Complete the collection with matching Alchemy pieces.</p><p><small>Reference SKU: Sticker-Academia-0014</small></p>","Microscope Observation Device Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic, mystical sticker",13,"Microscope Observation Device is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
Sticker-Academia-0015,Sticker,Academia,Printify_Published_Mockups5,69f1a8b40bc0bf405305ef2b,Skeleton Key Portal Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk Collector Gift,79,Skeleton Key Portal Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk Collector Gift,79,True,True,"<h2>Skeleton Key Portal - Kiss-Cut Sticker</h2><p>A polished Academia aesthetic piece for writers, learners, library lovers, and collectors of moody scholarly decor. Built for readers and collectors, this Skeleton Key Portal kiss-cut sticker blends literary atmosphere with vintage study-room style.</p><p>The design works well across journal spreads, library shelves, dorm rooms, studio desks, and cozy personal collections, while the title, material notes, and DNA profile stay specific for easy comparison.</p><ul><li><strong>Includes:</strong> One 6x6 kiss-cut sheet with 4 individual sticker designs.</li><li><strong>Material:</strong> Durable kiss-cut vinyl sticker sheet with waterproof finish.</li><li><strong>Size:</strong> 6x6 kiss-cut sheet with four coordinated designs.</li><li><strong>Style:</strong> Academia Mentor-Grade; Academia aesthetic.</li><li><strong>DNA Profile:</strong> An elaborate skeleton key with ornate bow made of Corroded Iron shaft and teeth, cracked glass decorative window in handle, Kintsugi gold filigree details, toxic jade bioluminescent core glowing through key body, dark academia aesthetic, dramatic side lighting with green mystical radiance, , , , , , person, text, watermark</li><li><strong>Best For:</strong> writers, learners, library lovers, and collectors of moody scholarly decor.</li></ul><p><strong>SEO Keywords:</strong> skeleton key, ornate key, corroded iron shaft, kintsugi glass window, toxic jade core, dark academia mystery, bioluminescent key, antique lock tool, mystical portal, mentor-grade design</p><p><strong>Image Note:</strong> The main image shows the actual product customers receive. Additional images are bonus concept/detail reference images and do not represent extra products or selectable variations.</p><p>Saved under the reference SKU below for easy collector matching.</p><p><small>Reference SKU: Sticker-Academia-0015</small></p>","Skeleton Key Portal Desk Collector Dark Academia Sticker Sheet, Kiss Cut Vinyl, Journal Laptop Gift","kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker, journal sticker, laptop sticker, book lover gift, study decor, jade aesthetic",13,"Skeleton Key Portal Desk Collector is part of a Quiet Relic Studio Dark Academia collection built around jade textures, quiet ritual objects, scholar-room atmosphere, and collectible visual detail.

Product: 6x6 kiss-cut vinyl sticker sheet
Includes: One physical 6x6 kiss-cut sticker sheet with coordinated designs.
Best for: journals, laptops, notebooks, scrapbooks, water bottles, and study desk decor
Style keywords: kintsugi art, jade art, library gift, sticker sheet, kiss cut sticker, vinyl sticker, dark academia, zen sticker

Image note: the main product image represents the item customers receive. Additional images are included as concept, detail, or collection-reference views and do not represent extra products or selectable variations.

Production note: this item is made through a print-on-demand production partner after purchase. Minor color differences may occur between screen previews and the finished physical item.",False,
