Priority,ID,Product_Type,Status,Printify_Product_ID,eBay_Item_ID,Source_Result,Live_Result,Roles,Selected_Count,Unique_Visual_Count,Action,Notes
P2_SOURCE_DEBT,Poster-Academia-0002,Poster,Printify_Published_Mockups5,69f2906f7f1017d51b0d5f76,406902600741,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom|official:front|official:front-2|official:close-up|official:context-1,9,9,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5; official:close-up=1; official:context-1=1; official:front=1; official:front-2=1
P2_SOURCE_DEBT,Poster-Academia-0081,Poster,Printify_PrimaryFix_Needed,69f29fe09577aaffd5068e03,406902627420,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Poster-Academia-0082,Poster,Printify_PrimaryFix_Needed,69f2a0cacaeb1241880b9e8d,406902648209,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Poster-Academia-0083,Poster,Printify_PrimaryFix_Needed,69f2a1b8a7777da197101a96,406902669660,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Poster-Academia-0084,Poster,Printify_PrimaryFix_Needed,69f2a2aacaeb1241880b9f6b,406902691983,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Acrylic-Grimdark-0082,Acrylic,Printify_PrimaryFix_Needed,69f2a7d0e64c9f31b70f79cf,406902633400,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Acrylic-Zen-0002,Acrylic,Printify_PrimaryFix_Needed,69f2a8a5357398ded80f8faf,406902657898,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Acrylic-Zen-0003,Acrylic,Printify_PrimaryFix_Needed,69f2a9b45f78c14a7b0a7290,406902673249,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Poster-Academia-0085,Poster,Printify_PrimaryFix_Needed,69f2b132cd8d04605103fdaa,406902882943,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
P2_SOURCE_DEBT,Poster-Academia-0091,Poster,Printify_PrimaryFix_Needed,69f2b7ada7777da1971028d7,406902887127,CHECK_CUSTOM_GALLERY_REPEATS_RISK,OK_DOM_DUPLICATE_ONLY,custom|custom|custom|custom|custom,5,5,DO_NOT_EXPAND_FROM_THIS_PATTERN; FIX_CREATE_TIME_SELECTION,custom=5
