Blueprint_ID,Catalog_Title,Type_Group,Provider_Summary_First5,Provider_Count,Official_Status
555,Stretched Canvas,Stretched Canvas,69:Prodigi,1,OK
937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)","Matte Canvas, Stretched, 0.75 Multi-Size",105:Jondo | 99:Printify Choice,2,OK
944,"Matte Canvas, Framed (Multi-color)","Matte Canvas, Framed Multi-color",105:Jondo | 99:Printify Choice,2,OK
1159,"Matte Canvas, Stretched, 1.25""","Matte Canvas, Stretched 1.25",105:Jondo | 99:Printify Choice,2,OK
1226,"Canvas Stretched, 1.5''",Canvas Stretched 1.5,259:merchOne,1,OK
1238,Classic Stretched Canvas,Classic Stretched Canvas,48:Colorway,1,OK
1297,"Canvas Stretched, 0.75""",Canvas Stretched 0.75,259:merchOne,1,OK
1936,"Canvas Art Wraps, 1.6""",Canvas Art Wraps 1.6,72:Print Clever,1,OK
492,Vertical Framed Poster,Vertical Framed Poster,36:Print Pigeons,1,OK
540,Framed Vertical Poster,Framed Vertical Poster,2:Sensaria | 99:Printify Choice,2,OK
764,Framed Posters,Framed Posters,72:Print Clever,1,OK
1130,"Framed Posters, Matte",Framed Posters Matte,66:Prima Printing,1,OK
1140,"Framed Posters, Black",Framed Posters Black,66:Prima Printing,1,OK
1236,Framed Paper Posters,Framed Paper Posters,105:Jondo,1,OK
1275,Posters with Wooden Frame,Posters with Wooden Frame,220:Posterflow,1,OK
1502,"Framed Poster, Multi-Color",Framed Poster Multi-Color,72:Print Clever,1,OK
1206,Metal Art Sign,Metal Art Sign,228:Taylor,1,OK
74,Spiral Notebook - Ruled Line,Spiral Notebook Ruled Line,1:SPOKE Custom Products,1,OK
75,Journal - Ruled Line,Journal Ruled Line,1:SPOKE Custom Products,1,OK
76,Journal Blank,Journal Blank,,,"ERROR ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
485,Hardcover Journal Matte,Hardcover Journal Matte,28:District Photo,1,OK
486,Spiral Bound Journal,Spiral Bound Journal,28:District Photo,1,OK
514,Hardcover Journal (A5),Hardcover Journal A5,55:Drukātava,1,OK
515,Spiral Notebook,Spiral Notebook,55:Drukātava,1,OK
1041,Hardcover Notebook with Puffy Covers,Hardcover Notebook with Puffy Covers,55:Drukātava,1,OK
1193,"Wirobound Softcover Notebook, A5",Wirobound Softcover Notebook A5,94:Harrier,1,OK
1194,"Softcover Notebook, A5",Softcover Notebook A5,94:Harrier,1,OK
1404,Softcover Journal (with Inside Prints),Softcover Journal with Inside Prints,28:District Photo,1,OK
1481,Hard Backed Journal,Hard Backed Journal,69:Prodigi,1,OK
5634,Spiral Notebook - Dotted,Spiral Notebook Dotted,99:Printify Choice,1,OK
68,Mug 11oz,Mug 11oz,1:SPOKE Custom Products,1,OK
425,Mug 15oz,Mug 15oz,1:SPOKE Custom Products,1,OK
478,"Ceramic Mug, (11oz, 15oz)",Ceramic Mug 11/15oz,28:District Photo | 410:Printful | 99:Printify Choice | 29:Monster Digital | 39:SwiftPOD,5,OK
479,"Black Mug (11oz, 15oz)",Black Mug 11/15oz,94:Harrier | 99:Printify Choice | 28:District Photo | 48:Colorway | 29:Monster Digital,5,OK
503,"White Ceramic Mug, 11oz",White Ceramic Mug 11oz,48:Colorway,1,OK
535,11oz White Mug,11oz White Mug,6:T Shirt and Sons,1,OK
583,11oz Accent Mug,11oz Accent Mug,77:SunFrog Solutions,1,OK
595,Accent Mugs,Accent Mugs,70:Printed Mint,1,OK
618,Ceramic Mugs (11oz\15oz\20oz),Ceramic Mugs 11/15/20oz,41:Duplium,1,OK
628,"Black Coffee Mug, 11oz",Black Coffee Mug 11oz,70:Printed Mint,1,OK
635,"Accent Coffee Mug (11, 15oz)",Accent Coffee Mug 11/15oz,94:Harrier | 39:SwiftPOD | 28:District Photo | 99:Printify Choice,4,OK
827,"White Ceramic Mug, 11oz and 15oz",White Ceramic Mug 11oz and 15oz,95:Ideju Druka,1,OK
985,"Colorful Accent Mugs, 11oz",Colorful Accent Mugs 11oz,66:Prima Printing,1,OK
1016,"Standard Mug, 11oz",Standard Mug 11oz,26:Textildruck Europa,1,OK
1017,"Color-Changing Mug, 11oz",Color-Changing Mug 11oz,26:Textildruck Europa,1,OK
1018,"Two-Tone Coffee Mug, 11oz",Two-Tone Coffee Mug 11oz,26:Textildruck Europa,1,OK
1126,"Jumbo Mug, 20oz",Jumbo Mug 20oz,59:Imagine Your Photos,1,OK
1151,"Colorful Mugs (11oz, 15oz)",Colorful Mugs 11/15oz,59:Imagine Your Photos,1,OK
1152,"Black Mug, 15oz",Black Mug 15oz,94:Harrier | 28:District Photo,2,OK
