Product_Family,Priority,Blueprint_ID,Blueprint_Title,Provider_ID,Provider_Title,Variant_ID,Variant_Title,Variant_Options,Cost_Cents,Suggested_Retail_Cents,Print_Area,US_Shipping_First_Cents,US_Shipping_Additional_Cents,Shipping_Profile,Decision,Probe_Status,Probe_Timestamp
Canvas,1,555,Stretched Canvas,69,Prodigi,70880,"1.5"" / 8″ x 10″","{""depth"": ""1.5\"""", ""size"": ""8″ x 10″""}",,,front:2400x3000,2999,1439,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70881,"1.5"" / 10″ x 8″","{""depth"": ""1.5\"""", ""size"": ""10″ x 8″""}",,,front:3000x2400,2999,1439,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70882,"1.5"" / 11″ x 14″","{""depth"": ""1.5\"""", ""size"": ""11″ x 14″""}",,,front:3300x4200,2999,1439,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70883,"1.5"" / 12″ x 16″","{""depth"": ""1.5\"""", ""size"": ""12″ x 16″""}",,,front:3600x4800,2999,1439,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70884,"1.5"" / 14″ x 11″","{""depth"": ""1.5\"""", ""size"": ""14″ x 11″""}",,,front:4200x3300,2999,1439,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70885,"1.5"" / 16″ x 12″","{""depth"": ""1.5\"""", ""size"": ""16″ x 12″""}",,,front:4800x3600,2999,1439,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70886,"1.5"" / 18″ x 24″","{""depth"": ""1.5\"""", ""size"": ""18″ x 24″""}",,,front:5400x7200,3129,1569,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,555,Stretched Canvas,69,Prodigi,70887,"1.5"" / 24″ x 18″","{""depth"": ""1.5\"""", ""size"": ""24″ x 18″""}",,,front:7200x5400,3129,1569,": first={'cost': 1999, 'currency': 'USD'} add={'cost': 1099, 'currency': 'USD'} | : first={'cost': 3919, 'currency': 'USD'} add={'cost': 2089, 'currency': 'USD'} | : first={'cost': 1559, 'currency': 'USD'} add={'cost': 799, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:25 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82218,"12"" x 9"" (Horizontal) / 0.75''","{""size"": ""12\"" x 9\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:3600x2700,709,329,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82219,14″ x 11″ (Horizontal) / 0.75'',"{""size"": ""14″ x 11″ (Horizontal)"", ""depth"": ""0.75''""}",,,front:4200x3300,779,359,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
