Product_Family,Blueprint_ID,Blueprint_Title,Provider_ID,Provider_Title,Variant_Count_Probed,Sample_Variants,Sample_Print_Areas,Min_US_Shipping_First_Cents,Max_US_Shipping_First_Cents,Production_Cost_Source,Recommended_Next_Test,Risk_Note
Canvas,555,Stretched Canvas,69,Prodigi,8,"1.5"" / 8″ x 10″ | 1.5"" / 10″ x 8″ | 1.5"" / 11″ x 14″ | 1.5"" / 12″ x 16″",front:2400x3000 | front:3000x2400 | front:3300x4200,2999,3129,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Good fit for existing full-frame art; verify production cost before pricing.
Canvas,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,8,"12"" x 9"" (Horizontal) / 0.75'' | 14″ x 11″ (Horizontal) / 0.75'' | 16″ x 12″ (Horizontal) / 0.75'' | 20"" x 16"" (Horizontal) / 0.75''",front:3600x2700 | front:4200x3300 | front:4800x3600,709,1369,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 2-3 sample listings after official cost is verified,Good fit for existing full-frame art; verify production cost before pricing.
Canvas,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,8,"12"" x 9"" (Horizontal) / 1.25"" | 14″ x 11″ (Horizontal) / 1.25"" | 16″ x 12″ (Horizontal) / 1.25"" | 18″ x 12″ (Horizontal) / 1.25""",front:3600x2700 | front:4200x3300 | front:4800x3600,779,1239,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 2-3 sample listings after official cost is verified,Good fit for existing full-frame art; verify production cost before pricing.
Canvas,1226,"Canvas Stretched, 1.5''",259,merchOne,8,"12"" x 8"" (Horizontal) / 1.5"" | 16″ x 12″ (Horizontal) / 1.5"" | 20″ x 16″ (Horizontal) / 1.5"" | 24″ x 16″ (Horizontal) / 1.5""",front:1778x1188 | front:2369x1778 | front:2965x2369,919,3269,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 2-3 sample listings after official cost is verified,Good fit for existing full-frame art; verify production cost before pricing.
Canvas,1238,Classic Stretched Canvas,48,Colorway,8,"10"" x 8"" (Horizontal) / 1.5"" | 12"" x 8"" (Horizontal) / 1.5"" | 16″ x 12″ (Horizontal) / 1.5"" | 18″ x 12″ (Horizontal) / 1.5""",front:3000x2400 | front:3600x2400 | front:4800x3600,1079,1519,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Good fit for existing full-frame art; verify production cost before pricing.
Canvas,1297,"Canvas Stretched, 0.75""",259,merchOne,8,"10"" x 8"" (Horizontal) / 0.75'' | 12"" x 8"" (Horizontal) / 0.75'' | 8″ x 10″ (Vertical) / 0.75'' | 8"" x 12"" (Vertical) / 0.75''",front:2955x2365 | front:3546x2365 | front:2365x2955,919,1309,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Good fit for existing full-frame art; verify production cost before pricing.
Canvas,1936,"Canvas Art Wraps, 1.6""",72,Print Clever,2,12″ x 18″ (Vertical) / 1.6” | 18″ x 12″ (Horizontal) / 1.6”,front:3592x5387 | front:5387x3592,1629,1629,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Good fit for existing full-frame art; verify production cost before pricing.
Framed Poster,492,Vertical Framed Poster,36,Print Pigeons,8,11″ x 14″ / Black | 11″ x 14″ / White | 12″ x 18″ / Black | 12″ x 18″ / White,front:3300x4200 | front:3300x4200 | front:3600x5400,4459,5849,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,540,Framed Vertical Poster,2,Sensaria,8,"11"" x 14"" / Black | 12″ x 16″ / Black | 16″ x 16″ / Black | 16″ x 20″ / Black",front:3300x4200 | front:3600x4800 | front:4800x4800,1249,2189,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 1-2 premium samples after cost verification,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,764,Framed Posters,72,Print Clever,8,"8″ x 10″ (Vertical) / Semi Glossy | 8"" x 12"" (Vertical) / Semi Glossy | 12″ x 18″ (Vertical) / Semi Glossy | 16"" x 20"" (Vertical) / Semi Glossy",front:2398x3000 | front:2398x3591 | front:3591x5398,2599,8679,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,1130,"Framed Posters, Matte",66,Prima Printing,6,"14″ x 11″ (Horizontal) / Black Frame / Matte | 15"" x 10"" (Horizontal) / Black Frame / Matte | 16″ x 12″ (Horizontal) / Black Frame / Matte | 10"" x 15"" (Vertical) / Black Frame / Matte",front:4276x3366 | front:4571x3071 | front:4866x3661,,,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 1-2 premium samples after cost verification,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,1140,"Framed Posters, Black",66,Prima Printing,8,"7"" x 5"" (Horizontal) / Black Frame | 8"" x 6"" (Horizontal) / Black Frame | 10"" x 8"" (Horizontal) / Black Frame | 12"" x 8"" (Horizontal) / Black Frame",front:2126x1524 | front:2374x1819 | front:3012x2374,,,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,1236,Framed Paper Posters,105,Jondo,8,11″ x 14″ (Vertical) / Black Frame / Fine Art | 11″ x 14″ (Vertical) / Black Frame / Semi Glossy | 12″ x 18″ (Vertical) / Black Frame / Fine Art | 12″ x 18″ (Vertical) / Black Frame / Semi Glossy,front:3300x4200 | front:3300x4200 | front:3600x5400,1389,1629,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,1275,Posters with Wooden Frame,220,Posterflow,8,16″ x 12″ (Horizontal) / Black Frame / Matte | 16″ x 12″ (Horizontal) / Black Frame / Satin | 16″ x 12″ (Horizontal) / Natural Wood Frame / Matte | 16″ x 12″ (Horizontal) / Natural Wood Frame / Satin,front:4724x3543 | front:4724x3543 | front:4724x3543,,,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 1-2 premium samples after cost verification,Higher shipping/return expectation; verify frame color/size variants carefully.
Framed Poster,1502,"Framed Poster, Multi-Color",72,Print Clever,8,"10"" x 8"" (Horizontal) / Semi Glossy / White | 10"" x 8"" (Horizontal) / Semi Glossy / Black | 16″ x 12″ (Horizontal) / Semi Glossy / Black | 24″ x 18″ (Horizontal) / Semi Glossy / White",front:3000x2398 | front:3000x2398 | front:4795x3591,949,2059,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Higher shipping/return expectation; verify frame color/size variants carefully.
Metal,1206,Metal Art Sign,228,Taylor,8,"7"" x 5"" (Horizontal) / 0.12'' | 10″ x 8″ (Horizontal) / 0.12'' | 14″ x 11″ (Horizontal) / 0.12'' | 20"" x 16"" (Horizontal) / 0.12''",front:2250x1650 | front:3150x2550 | front:4350x3450,1769,2059,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Build 1 high-end sample only if cost/margin works,Premium but niche; test tiny batch only.
Mug,478,"Ceramic Mug, (11oz, 15oz)",28,District Photo,2,11oz | 15oz,front:2475x1155 | front:2475x1275,639,829,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Only after wrap-around design QA; do not reuse vertical art directly,Requires wrap-around design and mug mockup QA; higher expectation risk than rectangular art.
