ID,Title,eBay_Item_ID,Printify_Product_ID,Cover_Path,Cover_Exists,Cover_Size,Cover_MB,Gallery_U1_Path,Gallery_U1_Exists,Gallery_U1_Size,Likely_Cover_OK,Recommended_Action
Sticker-Zen-0010,Floating Island Sanctuary 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,406892414116,69f1b00840c796ee97058144,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.21,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Sticker-Zen-0010_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0022,Mindful Zen Garden Stone Meis seki 4pc 6x6 Vinyl Sticker Laptop Journal Gift,406892414235,69f1b1ab63935da7e8064bab,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0022_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,4.82,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0022_Ready_for_Steaming\Sticker-Zen-0022_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0025,Koi Fish in Jade Pond Hisui no Koi Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Luck,406892327989,69f1cb4ef6b83091a50959f5,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0025_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,2.73,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0025_Ready_for_Steaming\Sticker-Zen-0025_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0027,Minimal Zen Temple Lantern Zendera no T r 4pc 6x6 Sticker Sheet Serene Mindful,406892414741,69f1ce0f11e0745fcb0da03a,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0027_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,2.74,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0027_Ready_for_Steaming\Sticker-Zen-0027_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0041,Minimal Zen Kintsugi Gold Dragon 4pc 6x6 Sticker Sheet Serene Mindful Clean,406902593931,69f1db9382fcf925cf08206d,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0041_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.04,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0041_Ready_for_Steaming\Sticker-Zen-0041_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0044,Zen Aesthetic Dragon Coil 4pc 6x6 Kiss-Cut Sticker Laptop Journal Water Bottle,406902622710,69f2396ccaeb1241880b692d,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0044_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,1.04,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0044_Ready_for_Steaming\Sticker-Zen-0044_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0045,Floating Dragon Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Sky Art,406902640998,69f21a5da7777da1970fd378,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0045_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,4.16,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0045_Ready_for_Steaming\Sticker-Zen-0045_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0046,Zen Aesthetic Dragon and Pearl 4pc 6x6 Kiss-Cut Sticker Laptop Journal Water,406902663232,69f21b07b0d6b88b2805ebe3,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0046_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.7,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0046_Ready_for_Steaming\Sticker-Zen-0046_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0049,Sleeping Dragon Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Laptop,406902713267,69f23a2fa7777da1970fe60d,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0049_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,4.81,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0049_Ready_for_Steaming\Sticker-Zen-0049_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0050,Translucent Jade Dragon Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift,406902886081,69f23a99c326d7da170bfe8d,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0050_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.52,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0050_Ready_for_Steaming\Sticker-Zen-0050_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0051,Kintsugi Gold Dragon Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift,406902889638,69f23b5ce64c9f31b70f415b,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0051_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.8,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0051_Ready_for_Steaming\Sticker-Zen-0051_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0052,Bioluminescent Dragon 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,406902896387,69f23c10caeb1241880b6afe,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0052_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.56,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0052_Ready_for_Steaming\Sticker-Zen-0052_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0053,Crystalline Dragon Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Gift,406902900109,69f252f4357398ded80f61c9,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0053_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,4.7,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0053_Ready_for_Steaming\Sticker-Zen-0053_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
Sticker-Zen-0054,Dragon Meditation Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Gift,406903032635,69f253bc357398ded80f6242,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0054_Ready_for_Steaming\Cover_Mockup.png,True,1800x1800,3.91,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0054_Ready_for_Steaming\Sticker-Zen-0054_U1_Grid.png,True,1024x1024,True,Online cover order spot-check before image sync
