ID,Product_Type,eBay_Item_ID,Printify_Product_ID,Online_Result,Best_U_Label,Repair_Method,Repair_Note,Cover_Path,Status,Last_Repair_Attempt
Sticker-Academia-0005,Sticker,406892409123,69f198efea1f992ded0e90e7,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures. | 2026-05-06 live audit after Printify source repair still showed U4 as buyer-page main image; route to replacement listing path.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0005_Ready_for_Steaming\Cover_Mockup.png,SOURCE_REPAIR_DONE_LIVE_STILL_BAD,2026-05-06 12:35:05 -0400
Sticker-Academia-0006,Sticker,406892409348,69f19b945494697f0d01b78c,LIKELY_SINGLE_U_MISMATCH,U3,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0006_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0007,Sticker,406892409645,69f1a56756390ef4cd09be1e,LIKELY_SINGLE_U_MISMATCH,U3,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0007_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0008,Sticker,406892409836,69f1a630de3c2e09400f9c5f,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0008_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0009,Sticker,406892410017,69f1a6acc2501ebbc40ac2e5,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0009_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0010,Sticker,406892410190,69f1a724785a37b0240adad9,LIKELY_SINGLE_U_MISMATCH,U3,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0010_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0011,Sticker,406892410307,69f1a7b0cfb25d6b6f0f10f7,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0011_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0014,Sticker,406892410440,69f1a833592cc603cd0a91fd,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0014_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0015,Sticker,406892411034,69f1a8b40bc0bf405305ef2b,LIKELY_SINGLE_U_MISMATCH,U3,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0015_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Academia-0016,Sticker,406892411436,69f1a92ade3c2e09400f9e44,LIKELY_SINGLE_U_MISMATCH,U3,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0016_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0001,Sticker,406892411931,69f1a99c785a37b0240adc94,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0001_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0002,Sticker,406892412365,69f1ab9a63935da7e8064504,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0002_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0003,Sticker,406892412612,69f1ac1804ea1d3ba9005c58,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0003_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0004,Sticker,406892412789,69f1ac9740c796ee97057c83,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0004_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0005,Sticker,406892413076,69f1ad18c59fe705400bacbf,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0005_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0007,Sticker,406892413333,69f1ad9bbb6f6dd6270dc5df,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0007_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0008,Sticker,406892413714,69f1aef4bb6f6dd6270dc7d5,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0008_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0009,Sticker,406892413966,69f1af85bb6f6dd6270dc848,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0009_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0022,Sticker,406892414235,69f1b1ab63935da7e8064bab,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0022_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0024,Sticker,406892414471,69f1b2c4d3e196c79b0fdaec,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0024_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0025,Sticker,406892327989,69f1cb4ef6b83091a50959f5,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0025_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0027,Sticker,406892414741,69f1ce0f11e0745fcb0da03a,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0027_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0041,Sticker,406902593931,69f1db9382fcf925cf08206d,LIKELY_SINGLE_U_MISMATCH,U2,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0041_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0042,Sticker,406902614234,69f2192ae64c9f31b70f2dbd,LIKELY_SINGLE_U_MISMATCH,U1,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0042_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0044,Sticker,406902622710,69f2396ccaeb1241880b692d,LIKELY_SINGLE_U_MISMATCH,U3,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0044_Ready_for_Steaming\Cover_Mockup.png,LIVE_AUDIT_ERROR,2026-05-06 22:36:55 -0400
Sticker-Zen-0045,Sticker,406902640998,69f21a5da7777da1970fd378,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0045_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0046,Sticker,406902663232,69f21b07b0d6b88b2805ebe3,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0046_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0049,Sticker,406902713267,69f23a2fa7777da1970fe60d,LIKELY_SINGLE_U_MISMATCH,U4,RETIRED_REPLACED_DONE,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0049_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0050,Sticker,406902886081,69f23a99c326d7da170bfe8d,LIKELY_SINGLE_U_MISMATCH,U2,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0050_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0051,Sticker,406902889638,69f23b5ce64c9f31b70f415b,LIKELY_SINGLE_U_MISMATCH,U3,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0051_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0052,Sticker,406902896387,69f23c10caeb1241880b6afe,LIKELY_SINGLE_U_MISMATCH,U3,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0052_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0053,Sticker,406902900109,69f252f4357398ded80f61c9,LIKELY_SINGLE_U_MISMATCH,U2,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0053_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0054,Sticker,406903032635,69f253bc357398ded80f6242,LIKELY_SINGLE_U_MISMATCH,U2,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0054_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0055,Sticker,406903037933,69f2547229c1d0349a00e796,LIKELY_SINGLE_U_MISMATCH,U1,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0055_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0056,Sticker,406903041315,69f25526ad218fe47f0cc0d3,LIKELY_SINGLE_U_MISMATCH,U1,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0056_Ready_for_Steaming\Cover_Mockup.png,PENDING,
Sticker-Zen-0057,Sticker,406903044643,69f255dae64c9f31b70f4ea6,LIKELY_SINGLE_U_MISMATCH,U2,SOURCE_REPAIR_REQUIRED,"Repair Printify source mockups first, then re-sync from Printify and re-audit eBay. eBay Reports cannot revise variation pictures for these Printify-synced inventory-managed listings. The failed result returned: Items that are managed by Inventory do not allow Add/Delete variation pictures.",C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0057_Ready_for_Steaming\Cover_Mockup.png,PENDING,
