Priority,ID,Product_Type,eBay_Item_ID,Printify_Product_ID,Gallery_Issue,Replacement_SKU,Replacement_Status,Recommended_Action,Notes
96,Acrylic-Academia-0003,Acrylic,406902703464,69f2b9c3caeb1241880bae85,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Academia-0003-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Grimdark-0082,Acrylic,406902633400,69f2a7d0e64c9f31b70f79cf,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Grimdark-0082-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Grimdark-0083,Acrylic,406902885214,69f2bac6343d8ca093077dd8,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Grimdark-0083-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0002,Acrylic,406902657898,69f2a8a5357398ded80f8faf,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0002-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0003,Acrylic,406902673249,69f2a9b45f78c14a7b0a7290,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0003-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0004,Acrylic,406902888077,69f2bbbc343d8ca093077e9a,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0004-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0005,Acrylic,406902893289,69f2c22e9b469f716d0ea954,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0005-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0006,Acrylic,406902898909,69f2d2a1c326d7da170c51b4,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0006-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0007,Acrylic,406903028253,69f2d3ab5f78c14a7b0a8b87,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0007-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Acrylic-Zen-0008,Acrylic,406903036452,69f2d49b81039eb9ab0b583c,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Acrylic-Zen-0008-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
