Timestamp,ID,Product_Type,eBay_Item_ID,URL,Picture_Count,Unique_Source_Count,Duplicate_Source_Count,Duplicate_Source_Keys,Picture_Slot_Count,Unique_Slot_Source_Count,Duplicate_Slot_Count,Duplicate_Slot_Keys,Result,Title,Error
2026-05-07 21:19:56 -0400,Poster-Academia-0091,Poster,406902887127,https://www.ebay.com/itm/406902887127,10,5,5,i2sAAeSwCy1p~Box:2|0NgAAeSwA9Fp~Boy:2|x78AAeSwyMZp~Boz:2|I4EAAeSw6oxp~Bo0:2|2G4AAeSwcM9p~Bow:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Smoky Jade Wall Art Celestial Lotus Vintage 12x18 Matte Poster Apartment Decor,
2026-05-07 21:20:05 -0400,Acrylic-Zen-0005,Acrylic,406902893289,https://www.ebay.com/itm/406902893289,10,5,5,8ZQAAeSw5D5p-D7e:2|gJ0AAeSwnflp-D7g:2|1BgAAeSwwplp-D7h:2|SoMAAeSwm6Zp-D7i:2|-q0AAeSwTU5p-D7d:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Gallery Desk Art Incense Vessel Constellation for Meditation 5x7 Acrylic Photo,
2026-05-07 21:20:14 -0400,Poster-Academia-0002,Poster,406902600741,https://www.ebay.com/itm/406902600741,17,9,8,NRAAAeSwbvhp~BlK:2|p8MAAeSwKuRp~BlL:2|1c4AAeSwLSlp~BlN:2|PFEAAeSwY5xp~BlO:2|YXsAAeSw9Vlp~BlJ:2|5vsAAeSwfCpp~BlP:2|0DEAAeSwyJ5p~BlQ:2|fdAAAeSw7aZp~BlR:2,9,9,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Visual Poster Obsidian Threshold Vintage Mentor Wisdom 12x18 Matte,
2026-05-07 21:20:22 -0400,Acrylic-Zen-0006,Acrylic,406902898909,https://www.ebay.com/itm/406902898909,10,5,5,z2gAAeSwAaFp~Qx0:2|JNoAAeSwcnFp~Qx2:2|TToAAeSwQMdp~Qx3:2|JdoAAeSw0F5p~Qx4:2|pKcAAeSwBKJp~Qxz:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Meditation Room Jade Relic Phoenix 5x7 Acrylic Block Shelf Decor Gift Study,
2026-05-07 21:20:30 -0400,Poster-Academia-0006,Poster,406903042690,https://www.ebay.com/itm/406903042690,17,9,8,jUAAAeSwh5lp~BmS:2|yQgAAeSwg6Bp~BmT:2|FRUAAeSwCDZp~BmU:2|wEwAAeSw0k5p~BmW:2|JjsAAeSwtz5p~BmR:2|meYAAeSweM9p~BmX:2|mh4AAeSwKnpp~BmY:2|fmoAAeSwrURp~BmY:2,9,9,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Apartment Art Ethereal Torii Scholarly Ascension 12x18 Matte Decor,
2026-05-07 21:20:39 -0400,Poster-Academia-0082,Poster,406902648209,https://www.ebay.com/itm/406902648209,10,5,5,NK8AAeSwNBlp-CDd:2|bDkAAeSwur5p-CDf:2|K6kAAeSw7LFp-CDg:2|hWIAAeSwuqdp-CDh:2|nn0AAeSwPmNp-CDc:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Vintage Academia Celestial Armillary Codex 12x18 Matte Poster Wall Decor Study,
2026-05-07 21:20:47 -0400,Acrylic-Zen-0007,Acrylic,406903028253,https://www.ebay.com/itm/406903028253,10,5,5,VEkAAeSwrIhp~QyQ:2|0dUAAeSwm7lp~QyR:2|L94AAeSwH-dp~QyS:2|6dcAAeSwpZhp~QyU:2|EAgAAeSwU9Bp~QyP:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Meditation Room Jade Relic Quiet Luxury 5x7 Acrylic Block Shelf Decor Gift Wall,
2026-05-07 21:20:55 -0400,Acrylic-Zen-0003,Acrylic,406902673249,https://www.ebay.com/itm/406902673249,10,5,5,etwAAeSwhS1p-CPe:2|ibcAAeSwwilp-CPf:2|WX8AAeSwDeVp-CPg:2|acYAAeSwAU9p-CPh:2|XIcAAeSwdRNp-CPd:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Desk Visual Pagoda Fragment Relic Print Floating 5x7 Acrylic Photo,
2026-05-07 21:21:04 -0400,Poster-Academia-0083,Poster,406902669660,https://www.ebay.com/itm/406902669660,10,5,5,UsoAAeSwgntp~Boa:2|AeEAAeSw0t5p~Bob:2|2KwAAeSwhjZp~Boc:2|7woAAeSwv5dp~Bod:2|10gAAeSwQIpp~BoY:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Apartment Art Cosmic Lotus Observatory Steampunk 12x18 Matte Decor,
2026-05-07 21:21:13 -0400,Acrylic-Grimdark-0082,Acrylic,406902633400,https://www.ebay.com/itm/406902633400,10,5,5,fWAAAeSwnflp~Br2:2|OAQAAeSw10Rp~Br3:2|3hYAAeSwcM9p~Br4:2|SbsAAeSw-jZp~Br5:2|p7AAAeSw4GNp~Br0:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Shelf Decor Alchemical Terrarium Withered Mandrake Root 5x7 Gift,
