ID,eBay_Item_ID,Printify_Product_ID,Result,Best_U_Label,Distance_To_Cover,Best_U_Distance,Recommended_Action,Status
Sticker-Academia-0005,406892409123,69f198efea1f992ded0e90e7,LIKELY_SINGLE_U_MISMATCH,U4,194,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0006,406892409348,69f19b945494697f0d01b78c,LIKELY_SINGLE_U_MISMATCH,U3,196,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0007,406892409645,69f1a56756390ef4cd09be1e,LIKELY_SINGLE_U_MISMATCH,U3,200,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0008,406892409836,69f1a630de3c2e09400f9c5f,LIKELY_SINGLE_U_MISMATCH,U2,193,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0009,406892410017,69f1a6acc2501ebbc40ac2e5,LIKELY_SINGLE_U_MISMATCH,U2,204,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0010,406892410190,69f1a724785a37b0240adad9,LIKELY_SINGLE_U_MISMATCH,U3,250,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0011,406892410307,69f1a7b0cfb25d6b6f0f10f7,LIKELY_SINGLE_U_MISMATCH,U1,204,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0014,406892410440,69f1a833592cc603cd0a91fd,LIKELY_SINGLE_U_MISMATCH,U1,231,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0015,406892411034,69f1a8b40bc0bf405305ef2b,LIKELY_SINGLE_U_MISMATCH,U3,155,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Academia-0016,406892411436,69f1a92ade3c2e09400f9e44,LIKELY_SINGLE_U_MISMATCH,U3,192,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0001,406892411931,69f1a99c785a37b0240adc94,LIKELY_SINGLE_U_MISMATCH,U1,195,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0002,406892412365,69f1ab9a63935da7e8064504,LIKELY_SINGLE_U_MISMATCH,U1,228,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0003,406892412612,69f1ac1804ea1d3ba9005c58,LIKELY_SINGLE_U_MISMATCH,U1,216,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
