ID,Folder_Status,Reasons,Asset,Width,Height,Sharpness,Bytes
Sticker-Academia-0001,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,875.05,1197415
Sticker-Academia-0001,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,837.53,1382283
Sticker-Academia-0001,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,468.37,50500
Sticker-Academia-0001,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,276.96,52934
Sticker-Academia-0001,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,421.28,54729
Sticker-Academia-0001,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,496.34,46872
Sticker-Academia-0002,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,4068.02,2542262
Sticker-Academia-0002,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,4260.1,2508032
Sticker-Academia-0002,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,2185.7,85562
Sticker-Academia-0002,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,2200.2,92553
Sticker-Academia-0002,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,1542.82,86748
Sticker-Academia-0002,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,2320.24,87064
Sticker-Academia-0003,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,540.15,777925
Sticker-Academia-0003,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,621.08,821505
Sticker-Academia-0003,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,508.45,32025
Sticker-Academia-0003,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,502.91,39141
Sticker-Academia-0003,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,507.25,34289
Sticker-Academia-0003,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,506.71,31433
Sticker-Academia-0004,ok,,Cover,1800,1800,3414.18,2857878
Sticker-Academia-0004,ok,,Production,1664,1664,3616.01,2748900
Sticker-Academia-0004,ok,,U1,1024,1024,3512.54,1086163
Sticker-Academia-0004,ok,,U2,1024,1024,2913.76,788725
Sticker-Academia-0004,ok,,U3,1024,1024,3787.23,968168
Sticker-Academia-0004,ok,,U4,1024,1024,3494.2,1001184
Sticker-Academia-0005,ok,,Cover,1800,1800,3557.32,3868423
Sticker-Academia-0005,ok,,Production,1664,1664,4081.89,3147881
Sticker-Academia-0005,ok,,U1,1024,1024,4286.77,1386566
Sticker-Academia-0005,ok,,U2,1024,1024,3353.33,1233468
Sticker-Academia-0005,ok,,U3,1024,1024,4296.5,1646975
Sticker-Academia-0005,ok,,U4,1024,1024,3307.23,991670
Sticker-Academia-0006,ok,,Cover,1800,1800,3416.32,2754605
Sticker-Academia-0006,ok,,Production,1664,1664,3663.67,2159425
Sticker-Academia-0006,ok,,U1,1024,1024,3148.95,1079060
Sticker-Academia-0006,ok,,U2,1024,1024,3803.26,775806
Sticker-Academia-0006,ok,,U3,1024,1024,3325.23,886324
Sticker-Academia-0006,ok,,U4,1024,1024,3569.71,864545
Sticker-Academia-0007,ok,,Cover,1800,1800,3806.8,3833993
Sticker-Academia-0007,ok,,Production,1664,1664,4364.43,3695517
Sticker-Academia-0007,ok,,U1,1024,1024,4531.1,1258144
Sticker-Academia-0007,ok,,U2,1024,1024,4223.6,1447238
Sticker-Academia-0007,ok,,U3,1024,1024,5094.31,1162629
Sticker-Academia-0007,ok,,U4,1024,1024,5063.77,1425181
Sticker-Academia-0008,ok,,Cover,1800,1800,2790.12,2626500
Sticker-Academia-0008,ok,,Production,1664,1664,2476.63,1717317
Sticker-Academia-0008,ok,,U1,1024,1024,2556.42,883081
Sticker-Academia-0008,ok,,U2,1024,1024,2580.36,676612
Sticker-Academia-0008,ok,,U3,1024,1024,2623.97,959514
Sticker-Academia-0008,ok,,U4,1024,1024,3453.78,923477
Sticker-Academia-0009,ok,,Cover,1800,1800,4403.63,4457498
Sticker-Academia-0009,ok,,Production,1664,1664,4900.77,4768850
Sticker-Academia-0009,ok,,U1,1024,1024,5360.34,1695129
Sticker-Academia-0009,ok,,U2,1024,1024,4486.45,1283043
Sticker-Academia-0009,ok,,U3,1024,1024,4025.54,1551751
Sticker-Academia-0009,ok,,U4,1024,1024,4455.29,1424122
Sticker-Academia-0010,ok,,Cover,1800,1800,5051.01,3994673
Sticker-Academia-0010,ok,,Production,1664,1664,5554.95,3611445
Sticker-Academia-0010,ok,,U1,1024,1024,5156.73,1311826
Sticker-Academia-0010,ok,,U2,1024,1024,5702.01,1390684
Sticker-Academia-0010,ok,,U3,1024,1024,5350.46,1151061
Sticker-Academia-0010,ok,,U4,1024,1024,4372.42,1679192
Sticker-Academia-0011,ok,,Cover,1800,1800,3397.83,3101669
Sticker-Academia-0011,ok,,Production,1664,1664,3831.02,2592988
