Timestamp,ID,Old_Folder,New_Folder,Reason
4/28/2026  9:52:05 PM,Sticker-Academia-0001,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Academia-0002,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Academia-0003,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0003_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0003_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Academia-0013,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0013_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0013_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0006,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0006_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0006_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0021,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0021_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0021_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0023,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0023_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0023_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0028,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0028_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0028_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0030,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0030_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0030_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0033,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0033_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0033_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0039,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0039_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0039_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0078,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0078_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0078_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0079,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0079_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0079_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0080,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0080_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0080_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0082,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0082_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0082_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0085,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0085_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0085_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0090,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0090_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0090_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0116,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0116_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0116_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0118,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0118_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0118_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0120,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0120_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0120_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0121,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0121_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0121_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0122,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0122_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0122_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0124,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0124_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0124_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0125,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0125_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0125_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0140,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0140_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0140_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0144,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0144_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0144_Not_Working_LowRes,U images below 1024px quality floor
4/28/2026  9:52:05 PM,Sticker-Zen-0152,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0152_Ready_for_Steaming,Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0152_Not_Working_LowRes,U images below 1024px quality floor
