
[2026-04-29 04:10:59] cleanup candidates=24
DELETE Sticker-Zen-0042 69f1dc3d921e272e26090a23 status=200 images=3
DELETE Sticker-Zen-0044 69f1e33b602e912a8d0cea0a status=200 images=3
DELETE Sticker-Zen-0045 69f1e370602e912a8d0cea1d status=200 images=3
DELETE Sticker-Zen-0046 69f1e3a4a85bb13b9e0beccc status=200 images=3
DELETE Sticker-Zen-0048 69f1e3da602e912a8d0cea54 status=200 images=3
DELETE Sticker-Zen-0049 69f1e412c3dff9a6c70964ed status=200 images=3
DELETE Sticker-Zen-0050 69f1e4487cf2737ac201e642 status=200 images=3
DELETE Sticker-Zen-0051 69f1e47d7af47622ee046fad status=200 images=3
DELETE Sticker-Zen-0052 69f1e4b07af47622ee046fdb status=200 images=3
DELETE Sticker-Zen-0053 69f1e4e67af47622ee047048 status=200 images=3
DELETE Sticker-Zen-0054 69f1e51b52ac79dd5804d105 status=200 images=3
DELETE Sticker-Zen-0055 69f1e54f7af47622ee0470ca status=200 images=3
DELETE Sticker-Zen-0056 69f1e587a85bb13b9e0bee81 status=200 images=3
DELETE Sticker-Zen-0057 69f1e5bea85bb13b9e0bee9a status=200 images=6
DELETE Sticker-Zen-0058 69f1e5f4f8e5ed12290a16be status=200 images=3
DELETE Sticker-Zen-0060 69f1e628602e912a8d0cec53 status=200 images=3
DELETE Sticker-Zen-0061 69f1e65ef8e5ed12290a16e1 status=200 images=3
DELETE Sticker-Zen-0062 69f1e69a602e912a8d0cec92 status=200 images=6
DELETE Sticker-Zen-0063 69f1e6d243aa63607c0ce5c7 status=200 images=3
DELETE Sticker-Zen-0066 69f1e7097af47622ee0471a3 status=200 images=3
DELETE Sticker-Zen-0067 69f1e740f8e5ed12290a176f status=200 images=6
DELETE Sticker-Zen-0068 69f1e783c3dff9a6c70967b1 status=200 images=6
DELETE Sticker-Zen-0069 69f1e7c227739c283a0ef068 status=200 images=6
DELETE Sticker-Zen-0070 69f1e7fea85bb13b9e0befea status=200 images=6
