ID,Product_Type,Category,Local_Status,Printify_Product_ID,eBay_Item_ID,eBay_Item_URL,eBay_Title,eBay_Price,Latest_eBay_Views_30_Days,Latest_eBay_General_Status,Latest_eBay_Priority_Status,Etsy_Planned,Etsy_Title,Etsy_Launch_Status,Production_Path,Cover_Path,Gallery_Ready,Image_Note_Ready,Action_Bucket
Sticker-Academia-0004,Sticker,Academia,Printify_Published_Mockups5,69f192aa5ea38382140f1d7b,406892408950,https://www.ebay.com/itm/406892408950,4pc Kiss-Cut Sticker Set Mechanical Raven Familiar Laptop Journal Bottle Dark,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0004_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0004_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0010,Sticker,Zen,Printify_Published_Mockups5,69f1b00840c796ee97058144,406892414116,https://www.ebay.com/itm/406892414116,Floating Island Sanctuary 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0055,Sticker,Zen,Printify_Published_Mockups5,69f2547229c1d0349a00e796,406903037933,https://www.ebay.com/itm/406903037933,Mindful Zen Azure Dragon Warrior 4pc 6x6 Vinyl Sticker Laptop Journal Gift Desk,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0055_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0055_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0056,Sticker,Zen,Printify_Published_Mockups5,69f25526ad218fe47f0cc0d3,406903041315,https://www.ebay.com/itm/406903041315,Dragon Cherry Blossom 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0056_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0056_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0057,Sticker,Zen,Printify_Published_Mockups5,69f255dae64c9f31b70f4ea6,406903044643,https://www.ebay.com/itm/406903044643,Moonlit Dragon 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal Desk Decor,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0057_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0057_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0058,Sticker,Zen,Printify_Published_Mockups5,69f259bc5f78c14a7b0a4760,406903049411,https://www.ebay.com/itm/406903049411,Minimal Zen Dragon Calligraphy 4pc 6x6 Sticker Sheet Serene Mindful Clean Decor,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0058_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0058_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0060,Sticker,Zen,Printify_Published_Mockups5,69f25a86a7777da1970ff5f3,406903249053,https://www.ebay.com/itm/406903249053,Minimal Zen Translucent Jade Dragon 4pc 6x6 Sticker Sheet Serene Mindful Clean,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0060_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0060_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0061,Sticker,Zen,Printify_Published_Mockups5,69f25b3ce64c9f31b70f50ed,406903249987,https://www.ebay.com/itm/406903249987,Minimal Zen Kintsugi Gold Dragon 4pc 6x6 Sticker Sheet Serene Mindful Calm Gift,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0061_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0061_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0062,Sticker,Zen,Printify_Published_Mockups5,69f25bee9b469f716d0e7056,406903250891,https://www.ebay.com/itm/406903250891,Zen Aesthetic Bioluminescent Dragon 4pc 6x6 Kiss-Cut Sticker Laptop Journal,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0062_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0062_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
Sticker-Zen-0063,Sticker,Zen,Printify_Published_Mockups5,69f25ca39577aaffd5066a80,406903252007,https://www.ebay.com/itm/406903252007,Crystalline Dragon Core 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0063_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0063_Ready_for_Steaming\Cover_Mockup.png,True,True,Published_Zero_View_Copy_Ad_Review
